








测试1港澳台,#genre#

914,http://php.jdshipin.com/PLTV/iptv.php?id=aod
916,http://php.jdshipin.com/PLTV/iptv.php?id=fct
920,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
921,http://php.jdshipin.com/PLTV/iptv.php?id=huali
922,http://php.jdshipin.com/PLTV/iptv.php?id=j2
923,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
924,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
925,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
926,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
927,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
928,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
930,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
931,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
932,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
933,http://php.jdshipin.com/smt.php?id=AEC
934,http://php.jdshipin.com/smt.php?id=Aodhd
935,http://php.jdshipin.com/smt.php?id=Celestial
936,http://php.jdshipin.com/smt.php?id=Celestial2
937,http://php.jdshipin.com/smt.php?id=inews_twn
938,http://php.jdshipin.com/smt.php?id=jade_twn
939,http://php.jdshipin.com/smt.php?id=Quanjia
941,http://php.jdshipin.com/TVOD/iptv.php?id=fct
942,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
944,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
945,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
946,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
947,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
948,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
949,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
950,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
951,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
955,http://php.jdshipin.com:8880/gztv.php?id=fazhi
956,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
957,http://php.jdshipin.com:8880/gztv.php?id=xinwen
958,http://php.jdshipin.com:8880/gztv.php?id=yingshi
959,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
960,http://php.jdshipin.com:8880/smt.php?id=Celestial
961,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
962,http://php.jdshipin.com:8880/smt.php?id=inews_twn
963,http://php.jdshipin.com:8880/smt.php?id=jade_twn
964,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
965,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
966,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
967,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
968,http://php.jdshipin.com:8880/smt.php?id=Qiyi
969,http://php.jdshipin.com:8880/smt.php?id=Quanjia
970,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
972,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
973,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
975,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
976,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc

测试地方,#genre#
河源电视台,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
澳六图库,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
武,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
FVA,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
海南新闻,http://nn.7x9d.cn/地方台8563/海南.php?id=xwpd
803,http://dd.rihou.cc:555/mp4
康巴卫视,http://218.89.240.144:59901/tsfile/live/1010_1.m3u8
青海卫视,http://110.53.52.63:8888/newlive/live/hls/38/live.m3u8
新疆卫视,http://106.124.91.222:9901/tsfile/live/21212_1.m3u8
嘉佳卡通,http://113.109.250.108:9999/udp/239.77.0.179:5146
嘉佳卡通,https://stream1.freetv.fun/jia-jia-qia-tong-2.ctv
甘肃卫视,http://118.122.189.74:9901/tsfile/live/0141_1.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=1
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
测试解说轮播,#genre#
1,http://103.193.151.146/huya.php?id=10279885
2,http://103.193.151.146/huya.php?id=11336587
3,http://103.193.151.146/huya.php?id=11336592
4,http://103.193.151.146/huya.php?id=11342394
5,http://103.193.151.146/huya.php?id=11342397
6,http://103.193.151.146/huya.php?id=11352875
7,http://103.193.151.146/huya.php?id=11352879
8,http://103.193.151.146/huya.php?id=11352889
9,http://103.193.151.146/huya.php?id=11352904
10,http://103.193.151.146/huya.php?id=11352922
11,http://103.193.151.146/huya.php?id=11352960
12,http://103.193.151.146/huya.php?id=11352970
13,http://103.193.151.146/huya.php?id=11352975
14,http://103.193.151.146/huya.php?id=11601963
15,http://103.193.151.146/huya.php?id=11601966
16,http://103.193.151.146/huya.php?id=11602065
17,http://103.193.151.146/huya.php?id=15152155
18,http://103.193.151.146/huya.php?id=16755322
19,http://103.193.151.146/huya.php?id=18632116
20,http://103.193.151.146/huya.php?id=19757963
21,http://103.193.151.146/huya.php?id=21059608
22,http://103.193.151.146/huya.php?id=21059621
